,major_category,middle_category,name,number,limit,exclusive,target_gender,buy_gender,buy_age,view,like,price,discount_rate,delivery_date,rating,review,buy
4401,바지,데님 팬츠,논페이드 와이드 데님팬츠[딥블랙],2024-NFWDP-DBK,0,0,2,0.0,"('24~28세', 0)",3300.0,347,39800.0,42,4.0,5.0,38,150.0
4402,바지,기타 바지,클래시 크리스탈 니트 팬츠 베이지,W-22-PT005-BE,0,0,1,,"('29~33세', 0)",550.0,46,50000.0,58,4.0,,0,
4403,바지,트레이닝/조거 팬츠,X-line ZIP 하이킹 팬츠 카키,L3AP0007KK,0,0,0,,"('~18세', 0)",1300.0,112,187200.0,10,4.0,5.0,2,
4404,스포츠/용품,하의,Daily Leggings Pants [Dark Gray],VA1MVLG01DGY,1,0,0,0.0,"('24~28세', '29~33세')",650.0,83,107100.0,10,4.0,4.8,18,100.0
4405,바지,트레이닝/조거 팬츠,804 WOOL SILHOUETTE PARACHUTE PANTS [CHARCOAL],BRWLPT804CH,1,0,0,0.0,"('24~28세', 0)",3000.0,876,151200.0,10,4.0,5.0,295,300.0
4406,바지,데님 팬츠,베어 생지 데님팬츠 블루,AQ22CMPT02BL,0,0,1,1.0,"('19~23세', 0)",2800.0,2394,26700.0,70,4.0,4.6,67,150.0
4407,스포츠/용품,하의,엘리엇 보드복 팬츠 베이지,YBTPT01BG22,0,0,0,0.0,"('40세~', 0)",1300.0,105,120000.0,50,4.0,4.8,11,50.0
4408,바지,데님 팬츠,머드 그라데이션 세미 플레어 와이드 데님 팬츠_중청,23FW1_21,0,0,0,,"('40세~', 0)",1200.0,221,67500.0,50,4.0,4.9,14,
4409,바지,트레이닝/조거 팬츠,(Set-up)Velvet Sweat Pants - BROWN,FTQFCPA509M,0,0,0,0.0,"('19~23세', 0)",350.0,178,76300.0,30,4.0,4.8,10,50.0
4410,바지,트레이닝/조거 팬츠,로키 팬츠 립스탑 4컬러,23ss_rocky_rip4cor,0,0,0,0.0,"('29~33세', 0)",2400.0,313,62100.0,10,4.0,4.9,31,100.0
4411,바지,트레이닝/조거 팬츠,짱구 1992 얼굴자수 스웨트팬츠 (멜란지 그레이),8800004571436,0,1,0,0.0,"('24~28세', '29~33세')",1000.0,50,49900.0,17,4.0,,0,50.0
4412,바지,코튼 팬츠,Two Pleated Wide Chino Pants Cotton / Linen Blend Twill Cloth Resilient Hard Finish (Light Beige),PCD1MCP403LB,1,0,2,0.0,"('29~33세', 0)",1300.0,332,219000.0,0,3.0,4.8,24,50.0
4413,스포츠/용품,하의,소프트 플리스 조거팬츠_블랙,AKWJL-04BLK,0,0,1,1.0,"('40세~', 0)",750.0,261,49000.0,17,4.0,4.8,121,50.0
4414,스포츠/용품,하의,CLWP3013 텐션 업 바이커 쇼츠 블랙,1340077,0,0,1,1.0,"('24~28세', 0)",450.0,1696,16900.0,70,4.0,4.8,655,1600.0
4415,바지,데님 팬츠,TEN POCKETS CAMO PANTS,KJP22624_WOOD CAMO,0,0,2,0.0,"('24~28세', 0)",750.0,299,111300.0,30,4.0,5.0,23,50.0
4416,바지,트레이닝/조거 팬츠,wide multi pants (corduroy brown),23F/W,0,0,0,0.0,"('24~28세', 0)",1600.0,256,112000.0,0,4.0,5.0,32,50.0
4417,바지,데님 팬츠,세미와이드 카고 데님팬츠 화이트,723_wh,0,0,0,0.0,"('24~28세', 0)",1200.0,1059,43400.0,30,4.0,4.9,101,300.0
4418,바지,숏 팬츠,RR LOGO NYLON SHORTS WHITE,RR232PT001WH,0,0,1,1.0,"('24~28세', 0)",1000.0,854,75600.0,30,3.0,4.8,12,50.0
4419,바지,트레이닝/조거 팬츠,스트링 밴딩 포켓 팬츠 [블랙],String banding pocket pants [Black],0,0,1,1.0,"('24~28세', 0)",1500.0,17384,58500.0,23,4.0,4.9,3169,6600.0
4420,바지,숏 팬츠,Edition1. Row 로고 2턱 워시드 벌룬핏 버뮤다 숏팬츠(6col),Edition1_18,0,0,0,0.0,"('24~28세', 0)",700.0,927,55300.0,30,4.0,5.0,112,250.0
4421,바지,코튼 팬츠,NU-MAC CARPENTER PANTS Black,IYPTDC005BK,1,0,0,0.0,"('19~23세', 0)",13000.0,3980,159600.0,5,4.0,4.9,411,950.0
4422,바지,데님 팬츠,Backing Parties Raw Flare Jeans (DARK INDIGO),PDP221TSBK07,0,0,2,0.0,"('24~28세', 0)",1000.0,304,152100.0,10,4.0,5.0,16,50.0
