,major_category,middle_category,name,number,limit,exclusive,target_gender,buy_gender,buy_age,view,like,price,discount_rate,delivery_date,rating,review,buy,score,buy_age1,buy_age2
2556,바지,데님 팬츠,Straight Fit Denim-Washed Black (pt 510 WB),PT 510 WB,0,0,0,0.0,"('19~23세', 0)",1200.0,403,29250.0,35,5.0,4.9,37,150.0,1.0,2,0
2557,바지,트레이닝/조거 팬츠,BERRYMAN SIGNATURE SET-UP PANTS_D/OLIVE,BU043DT010K4,0,0,0,0.0,"('40세~', 0)",2300.0,73,49500.0,55,5.0,4.7,9,50.0,1.0,6,0
2558,바지,데님 팬츠,와이드 원 턱 데님 팬츠 [라이트 블루],MABPC508-LL,0,1,0,0.0,"('19~23세', 0)",1700.0,1286,44890.0,25,5.0,4.8,99,300.0,1.0,2,0
2559,바지,코튼 팬츠,루즈핏 치노 팬츠 (KHAKI BROWN),LOOSE-FIT CHINO PANTS (CHARCOAL),0,0,0,0.0,"('34~39세', 0)",550.0,116,38500.0,50,5.0,4.1,11,50.0,0.9444444444444444,5,0
2560,바지,코튼 팬츠,스트럭쳐드 롱 벌룬 팬츠 (블랙),U23-BOT14-BK,1,0,2,0.0,"('19~23세', 0)",3200.0,1196,59200.0,20,6.0,5.0,49,200.0,0.9696969696969696,2,0
2561,스포츠/용품,하의,에어쿨링 3부 레깅스_블랙,ALP3L-02BLK,0,0,1,1.0,"('19~23세', 0)",550.0,3911,32000.0,24,5.0,4.9,725,1700.0,0.9883720930232558,2,0
2562,바지,데님 팬츠,가먼트 다이드 페인터 팬츠 DUSTY GREEN,IM2C4PT26GE,1,0,0,0.0,"('29~33세', 0)",2600.0,245,115000.0,20,5.0,4.8,12,50.0,0.8888888888888888,4,0
2563,바지,기타 바지,Double Pocket Wide Pants Black,DMNT23SSPTBK004,0,0,2,0.0,"('19~23세', 0)",4800.0,2430,87200.0,20,5.0,4.9,127,400.0,1.0,2,0
2564,바지,숏 팬츠,여성 스티브 베이직 쇼츠 / WHTHD3791F,WHTHD3791F,0,0,1,1.0,"('34~39세', 0)",600.0,299,19950.0,50,5.0,4.4,20,50.0,1.0,5,0
2565,스포츠/용품,하의,여성 메르디안 팬츠 1377079-001,1377079-001,0,0,1,1.0,"('24~28세', 0)",900.0,222,69300.0,30,5.0,4.4,5,50.0,1.0,3,0
2566,바지,트레이닝/조거 팬츠,ORIGINAL CARGO PANTS BLACK,BDZ3-5557,0,0,0,0.0,"('19~23세', 0)",1100.0,381,148000.0,0,5.0,4.9,10,50.0,1.0,2,0
2567,바지,데님 팬츠,STREAMLINE DENIM PANTS [BROWN],GR23FWMP13BR,0,0,0,0.0,"('19~23세', 0)",2200.0,565,175500.0,10,6.0,5.0,26,50.0,1.0,2,0
2568,스포츠/용품,하의,프로 우븐 5부 반바지+테크핏 9부 타이즈 레깅스 컴프레션 2종 세트[차콜_블랙],E-896PCC+E-958UBK,0,0,0,0.0,"('29~33세', 0)",150.0,49,53900.0,0,5.0,5.0,4,50.0,1.0,4,0
2569,스포츠/용품,하의,캠프 윈드브레이커 조거 팬츠 블랙,LIR0USO100,0,0,0,0.0,"('24~28세', 0)",7800.0,1957,26900.0,54,5.0,4.8,211,900.0,0.986842105263158,3,0
2570,바지,코튼 팬츠,맥시 와이드 카고 유틸팬츠 [블랙],MMFFMPT103,0,0,0,0.0,"('24~28세', 0)",2000.0,570,76300.0,30,6.0,4.9,61,100.0,0.967741935483871,3,0
2571,스포츠/용품,하의,템프프리™ 쿨 6-inch 쇼츠 [블랙],M32001APS43BLK,0,1,0,0.0,"('29~33세', 0)",900.0,542,34900.0,0,5.0,4.8,298,850.0,0.975609756097561,4,0
2572,바지,숏 팬츠,원턱 사이드 절개 피그먼트 버뮤다 팬츠 차콜,G77700021CH,0,0,0,0.0,"('19~23세', 0)",2100.0,823,34400.0,20,5.0,4.9,55,300.0,0.98,2,0
2573,바지,데님 팬츠,[NSTK] 시티스케이프 데님 팬츠 (BLUE)_K21ZC550,K21ZC550BL,1,0,2,0.0,"('19~23세', 0)",1500.0,7000,76500.0,10,5.0,4.9,364,400.0,0.9545454545454546,2,0
2574,바지,기타 바지,더블 코듀로이 밴딩 팬츠 차콜,YK23FWPT01,0,0,1,1.0,"('19~23세', 0)",1900.0,1932,68600.0,30,6.0,4.7,42,100.0,0.9285714285714286,2,0
2575,바지,데님 팬츠,원턱 와이드 데님팬츠 (중청),WE7645,0,0,0,0.0,"('19~23세', 0)",6600.0,3705,39200.0,30,7.0,4.9,282,1200.0,0.9883720930232558,2,0
2576,바지,숏 팬츠,듀러블 버뮤다 팬츠 (인디고),U23-BOT05-ID,1,0,2,0.0,"('19~23세', 0)",1400.0,3310,53100.0,10,6.0,4.8,243,1000.0,0.9767441860465116,2,0
2577,바지,데님 팬츠,미드 웨이스트 플레어 블랙진 일렌느,KC6102BK,0,0,1,1.0,"('40세~', 0)",600.0,403,79000.0,0,5.0,4.9,14,50.0,1.0,6,0
2578,스포츠/용품,하의,P4024 기능성 핀턱 와이드 팬츠 [블랙],P4024,0,0,0,0.0,"('24~28세', 0)",3100.0,1209,48000.0,30,5.0,4.9,264,1000.0,0.9886363636363636,3,0
2579,바지,숏 팬츠,BASKETBALL SHORTS (NAVY),WK23SSPT03NV,0,0,2,0.0,"('19~23세', 0)",1500.0,3996,103200.0,20,5.0,4.8,133,300.0,0.986842105263158,2,0
2580,바지,데님 팬츠,Carpenter Wide Deep Blue Jeans,FN23FWPT-08DB,0,0,0,0.0,"('24~28세', 0)",1100.0,228,134100.0,10,5.0,5.0,20,50.0,1.0,3,0
2581,바지,트레이닝/조거 팬츠,컴포트 하프 남여공용 조거 팬츠,5000676758,0,0,0,0.0,"('40세~', 0)",2500.0,121,12900.0,68,5.0,4.5,13,100.0,1.0,6,0
2582,바지,숏 팬츠,[패키지] 트레이닝 스웨트 숏 팬츠 - 3Color,sest,1,0,2,1.0,"('~18세', 0)",2500.0,2251,29900.0,48,7.0,4.8,269,1600.0,0.9883720930232558,1,0
2583,바지,코튼 팬츠,프렌치 치노 투턱 팬츠 (웜 그레이),French Two Tuck Chino Pants (Warm Gray),0,0,0,0.0,"('24~28세', 0)",2700.0,952,78300.0,10,5.0,4.9,181,350.0,0.9615384615384616,3,0
2584,바지,트레이닝/조거 팬츠,GAC JOGGER SWEAT PANTS yellow (기모),1684122,0,0,0,1.0,"('29~33세', 0)",1100.0,696,62100.0,10,5.0,4.8,44,50.0,1.0,4,0
